ds,yhat,yhat_lower,yhat_upper
2014-01-01,82.06992683746572,2.129204080688879,164.7098124941886
2014-01-02,63.04558060633566,-16.497283581641053,153.3173375641041
2014-01-03,71.90545142857341,-13.66657620603046,155.13969391330116
2014-01-04,120.99933754129883,37.9066072282335,210.6093035168984
2014-01-05,73.83805605347598,-15.492849544076849,160.20817634674484
2014-01-06,44.51038857439859,-38.399595993441245,125.31454022551132
2014-01-07,41.631331313451675,-45.130522077687424,123.64134018234472
2014-01-08,66.12247154076076,-19.17989906683814,149.25316171159648
2014-01-09,51.753932650024886,-31.57846897416186,133.08764533471714
2014-01-10,65.58978481317985,-18.362763198877943,155.9933605972385
2014-01-11,119.86766942074978,32.3552924652086,201.62216973044968
2014-01-12,77.98200356403362,-4.170828730667866,163.4403063154888
2014-01-13,53.90346504689745,-37.24313969796152,140.27027659305259
2014-01-14,56.12979976917126,-33.79302748342386,140.2627296013786
2014-01-15,85.46871767040965,2.897833995212495,166.83937961275197
2014-01-16,75.58226521403597,-5.472613521452549,160.06171246720837
2014-01-18,151.17330616200104,63.854619717650365,235.37844519709185
2014-01-19,112.11525851651247,26.191058737762567,192.32327086250095
2014-01-20,90.16689024444499,8.39554148981063,177.97303230107804
2014-01-21,93.77668288683196,6.6690649570003355,176.1175371753796
2014-01-22,123.7189357027313,34.75797748759031,209.9227494881848
2014-01-23,113.63874711375229,32.197516108570184,196.51503930363762
2014-01-24,130.49996411580102,40.058138240915625,211.8667716974476
2014-01-25,186.4667984096024,103.73330549616068,273.1982510274566
2014-01-26,144.88843844056464,56.45297035855636,228.24181418715702
2014-01-27,119.71933375826184,32.69674035185493,203.3812040396683
2014-01-28,119.4701828021395,45.742247317765674,208.2834710357747
2014-01-29,144.99039293518547,56.8185884023209,231.5561713061842
2014-01-30,130.01141646584853,42.17498127784299,216.94668548169162
2014-01-31,141.59283636030756,60.78566091571096,229.3915631835568
2014-02-01,192.0019420712752,108.41188985214292,278.26393800803953
2014-02-02,144.69616947904598,54.93182284817054,223.56851443720527
2014-02-03,113.7411281738828,25.91454774273621,197.36173389375713
2014-02-04,107.75929538394084,26.375398342420077,195.7784063396974
2014-02-05,127.71019325320293,41.15198983689878,206.9956341791615
2014-02-06,107.43150043628808,23.02878576114196,187.03090769272333
2014-02-07,114.08301691386771,28.50423146370347,202.79359727883823
2014-02-08,160.02426485286958,77.34955482934231,243.55073691446404
2014-02-09,108.79513823782655,30.4387487066412,203.31172089711276
2014-02-12,83.95285101899101,-8.177423328773868,167.9414293418621
2014-02-13,62.50829133863374,-25.272672610424454,148.02318709555834
2014-02-14,68.75827381317009,-13.757986892091418,156.7617603315396
2014-02-15,115.0625349452074,26.27135391611863,200.18780940956745
2014-02-16,64.94624673922257,-18.22091320600394,145.71496857207168
2014-02-17,32.51692630141587,-45.141451271358534,113.23968672678345
2014-02-18,26.4125463888468,-53.19447114058417,112.36160123836683
2014-02-19,47.581669006515895,-31.23749685078486,130.5165457011247
2014-02-20,29.825047100943102,-49.06258237029145,114.37329728964285
2014-02-21,40.24059673558907,-43.17667365311923,121.62594126283538
2014-02-22,91.10249582449778,4.677996391635979,173.3251537207635
2014-02-23,45.84378589414202,-34.565568672885846,122.85198000988369
2014-02-24,18.475189685668838,-62.234339761586654,98.88073850926732
2014-02-25,17.535200574399624,-57.08247671910515,107.94256446878624
2014-02-26,43.87222562234827,-34.84811882158628,136.7064740260717
2014-02-27,31.188186964056158,-47.380463974231276,114.50089060074778
2014-02-28,46.485444294859974,-31.431727695715647,133.65911982911004
2014-03-01,101.94775640420536,23.898866880889408,191.97531846095492
2014-03-02,60.92462229799307,-17.59525116107415,150.74579837170674
2014-03-03,37.351681655385164,-45.18609292483764,113.17010026177054
2014-03-05,68.7704017664162,-13.31285393318146,153.08547862786543
2014-03-06,58.216013816331845,-29.00685912519529,138.26541490442878
2014-03-07,75.01190065577583,-5.680050060570615,157.84193956143108
2014-03-08,131.3254630526297,48.83750348777502,217.30591187732168
2014-03-09,90.50315520306648,4.953286007430529,167.68888631609235
2014-03-10,66.49079239028632,-22.496444537792144,146.56849517958472
2014-03-11,67.78468069447706,-14.407315318581096,149.53065378176478
2014-03-12,95.21433430103548,7.274800449255229,183.45176341660448
2014-03-13,82.48617810357395,-3.325769611480141,169.49617447994805
2014-03-14,96.63010068946,5.20956194381579,179.76554162242255
2014-03-16,105.65479267003464,24.865660336044744,192.58880679668061
2014-03-17,77.98126537209056,-6.222215266871328,160.63703169797927
2014-03-18,75.43938151671368,-12.538612867880603,163.55149314223252
2014-03-19,98.94529278090505,17.97196224807371,178.01289393713984
2014-03-20,82.2928190011028,-5.300030712492886,168.94373385218293
2014-03-21,92.59818768381174,10.595795568101861,181.00858285851567
2014-03-22,142.17838591106462,61.517828686560804,221.35751482727633
2014-03-23,94.53252099665681,9.831674998824859,181.7172973616178
2014-03-24,63.75893244716709,-20.564423739712826,149.2636151569085
2014-03-25,58.50315014049209,-24.41774617282112,145.04789023375398
2014-03-26,79.73752782287153,-7.622157557816411,165.57344736097198
2014-03-27,61.30201125467431,-20.781131241038487,142.27973046574138
2014-03-28,70.34796460517657,-15.04353758234181,152.10200101013052
2014-03-29,119.21583882128482,36.1428410417084,208.81401995528506
2014-03-30,71.4160918858791,-8.860958981109807,150.81018519120855
2014-03-31,41.04611226931929,-43.63207833741746,122.21368163548006
2014-04-01,36.73824424100771,-53.03108942395217,119.47805648681046
2014-04-02,59.43974279722197,-21.432318877957616,147.38300723290772
2014-04-03,42.954111104789746,-36.08830499554574,135.92526079955377
